位置,大小,价格,单位
"鱼梁洲鹿鸣岛花园3室2厅2卫,全套家具家电 鹿鸣岛花园春风苑",3室2厅|135平米|2/6层王红梅 整租 南北,1200 ,元/月
鱼梁洲锦绣花园两室两厅，精装修，家具家电齐。 锦绣家园,2室2厅|100平米|3/6层王红梅 整租 南北,1000 ,元/月
万山轴承厂1室好楼层41中附近业主急租500元 轴承厂家属区,1室1厅|45平米|2/4层胡金凤 整租 南北,500 ,元/月
襄城北街经信委家属院精装修拎包入住2室75平1900/月 北门公寓,2室2厅|75平米|5/5层金云 整租 南北,1900 ,元/月
安厦好房 檀溪府 邸两室精装修 楼层好 家具家电齐全 檀溪府邸,2室2厅|83平米|16/25层张曼 整租 南北,1700 ,元/月
元嘉房产襄城四中小学家属院精装拎包住 四中小学家属院,1室1厅|30平米|2/6层张白云 整租 南北,1500 ,元/月
襄城区北街正街旺铺出租转让，接手即可经营 北门公寓,5室3厅|4000平米|1/6层万言 整租 南北,7000 ,元/月
鱼梁洲锦绣家园2室-2厅-1卫整租 锦绣家园,2室2厅|104平米|6/6层 整租 东南,1000 ,元/月
安厦好房 檀溪恒大名都对面小区 两室家具家电齐全 看房方便 檀溪府邸,2室2厅|82平米|17/23层李莉 整租 南北,1600 ,元/月
檀溪轴承厂家属院一室一厅独立卫生间+天燃气41中附近 轴承厂家属区,1室1厅|40平米|2/4层钟敏 整租 南北,400 ,元/月
檀溪公馆旁万山轴承厂对面万陶小区精装2室2厅 拎包入住 檀溪路万陶小区,2室2厅|80平米|3/7层钟敏 整租 南北,1000 ,元/月
六化建家属院，一室一厅，价格实惠 六化建家属楼,1室1厅|42平米|3/4层王秀莲 整租 南北,350 ,元/月
襄城北京公馆 门面出租 北京公馆,3室2厅|120平米|1/2层吴杰 整租 朝南,8000 ,元/月
鱼梁洲锦绣家园 小三室两厅出租 我们店有钥匙 锦绣家园,3室2厅|100平米|3/6层王继进 整租 朝南,1200 ,元/月
安厦好房 檀溪恒大名都对面小区 两室精装家具家电齐全看房方便 檀溪府邸,2室2厅|85平米|5/25层李莉 整租 南北,1800 ,元/月
张公祠森林公园张公祠路30号2室-1厅-2卫合租 岘山小区,2室1厅|105平米|1/1层 合租 南北,400 ,元/月
檀溪*2室-2厅-1卫整租 檀溪府邸,2室2厅|83平米|3/21层 整租 朝南,1800 ,元/月
安厦好房 檀溪中路水园对面金园小区 大两室家具家电齐全 金园小区,2室2厅|102平米|2/7层李莉 整租 南北,1800 ,元/月
檀溪府 邸精装两室一厅，周围有恒大名都小学 檀溪府邸,2室2厅|85平米|25/26层柴金燕 整租 南北,1600 ,元/月
恒大名都精装两室，拎包入住 恒大名都,2室2厅|91平米|23/32层柴金燕 整租 南北,2300 ,元/月
襄城西门桥 卫校家属院 2室 拎包入住 中房泰鑫公寓,2室2厅|76平米|7/7层刘亮 整租 南北,1500 ,元/月
西门桥附近 财局家属院 2室 拎包入住 暂无小区,2室2厅|97平米|8/8层刘亮 整租 南北,1100 ,元/月
檀溪万山轴承厂对面陶瓷厂家属院2室2厅41中附近 暂无小区,2室2厅|82平米|6/7层钟敏 整租 南北,600 ,元/月
安厦好房 名仕家天下精装3室，家具家电齐全，送免费停车位 名仕家天下,3室2厅|123平米|12/18层邵华月 整租 朝南,2200 ,元/月
怡和苑3室-2厅-2卫整租 怡和苑,3室2厅|134平米|3/7层 整租 南北,2500 ,元/月
襄城北京公馆 门面出租 北京公馆,3室2厅|120平米|1/2层吴杰 整租 朝南,8000 ,元/月
鱼梁洲锦绣家园 小三室两厅出租 我们店有钥匙 锦绣家园,3室2厅|100平米|3/6层王继进 整租 朝南,1200 ,元/月
安厦好房 檀溪恒大名都对面小区 两室精装家具家电齐全看房方便 檀溪府邸,2室2厅|85平米|5/25层李莉 整租 南北,1800 ,元/月
张公祠森林公园张公祠路30号2室-1厅-2卫合租 岘山小区,2室1厅|105平米|1/1层 合租 南北,400 ,元/月
檀溪*2室-2厅-1卫整租 檀溪府邸,2室2厅|83平米|3/21层 整租 朝南,1800 ,元/月
安厦好房 檀溪中路水园对面金园小区 大两室家具家电齐全 金园小区,2室2厅|102平米|2/7层李莉 整租 南北,1800 ,元/月
檀溪府 邸精装两室一厅，周围有恒大名都小学 檀溪府邸,2室2厅|85平米|25/26层柴金燕 整租 南北,1600 ,元/月
恒大名都精装两室，拎包入住 恒大名都,2室2厅|91平米|23/32层柴金燕 整租 南北,2300 ,元/月
襄城西门桥 卫校家属院 2室 拎包入住 中房泰鑫公寓,2室2厅|76平米|7/7层刘亮 整租 南北,1500 ,元/月
西门桥附近 财局家属院 2室 拎包入住 暂无小区,2室2厅|97平米|8/8层刘亮 整租 南北,1100 ,元/月
檀溪万山轴承厂对面陶瓷厂家属院2室2厅41中附近 暂无小区,2室2厅|82平米|6/7层钟敏 整租 南北,600 ,元/月
安厦好房 名仕家天下精装3室，家具家电齐全，送免费停车位 名仕家天下,3室2厅|123平米|12/18层邵华月 整租 朝南,2200 ,元/月
怡和苑3室-2厅-2卫整租 怡和苑,3室2厅|134平米|3/7层 整租 南北,2500 ,元/月
安厦好房 檀溪东方小区电梯房 两室精装家具家电齐全 看房方便 东方社区,2室2厅|86平米|14/15层李莉 整租 南北,1700 ,元/月
安厦好房 东门口华电对面鼎盛苑 两室家具家电齐全 看房方便 中房鼎盛源,2室2厅|65平米|4/6层李莉 整租 南北,1300 ,元/月
安厦好房 东门口河畔林语对面庞公春晓 两室精装家具家电齐全 庞公春晓,2室2厅|95平米|9/15层李莉 整租 南北,1700 ,元/月
东门口鼎盛苑电梯房小三室精装修家具家电可以配 中房鼎盛源,3室1厅|103平米|12/14层李莉 整租 南北,2000 ,元/月
六化建育才小区 2室2厅1卫 六化建育才小区,2室2厅|79.6平米|7/7层王生先生 整租 南北,1000 ,元/月
鼓楼财局家属院 拎包入住 中间楼层 停车方便 民安公寓,2室2厅|85平米|1/7层黄虹玲 整租 南北,1700 ,元/月
西门桥建行家属院 中间楼层 精装修 拎包入住 昭明台社区,2室2厅|82平米|3/7层黄虹玲 整租 南北,1800 ,元/月
业主急租 万山轴承厂家属院63平2室 700每月急急急急 轴承厂家属区,2室2厅|63平米|2/6层秦萍萍 整租 南北,700 ,元/月
隆馨家园3室-2厅-2卫整租 隆馨家园,3室2厅|98平米|5/7层 整租 朝南,1500 ,元/月
襄城鼓楼荆州街 北街单位院 精装2室 家具家电齐全 四中陪读 景苑1区,2室2厅|70平米|5/5层张小琴 整租 南北,2000 ,元/月
滨湖路小区二室二厅一卫精装修家具家电齐全拎包入住月租1700 檀溪府邸,2室2厅|85平米|10/23层杨洁 整租 南北,1700 ,元/月
恒大名都 精装二室二厅一卫家具家电齐全 月租2200 恒大名都,2室2厅|83平米|21/32层杨洁 整租 南北,2200 ,元/月
龙安小区 1室1厅1卫 龙安小区,1室1厅|41平米|5/6层刘旭女士 整租 朝南,1000 ,元/月
福满园1室-1厅-1卫整租 福满园,1室1厅|45平米|3/7层 整租 朝南,700 ,元/月
审计局家属院 1室1厅1卫 审计局家属院,1室1厅|42平米|2/2层刘旭女士 整租 朝南,1300 ,元/月
业主急租 襄轴花园2室 好楼层家私齐全 随时看房 轴承厂家属区,2室2厅|86平米|3/6层胡金凤 整租 南北,800 ,元/月
家乐福商圈 38中对面 建安小区 停车方便 拎包入住 建安小区,2室1厅|61平米|3/6层陈红梅 整租 朝南,1300 ,元/月
安厦好房 檀溪中路水园对面金园小区 大两室家具家电齐全 金园小区,2室2厅|102平米|2/7层李莉 整租 南北,1800 ,元/月
檀溪路 檀溪新居 3室 好房出租 电梯房 檀溪新居,3室2厅|137平米|3/14层黄虹玲 整租 南北,2000 ,元/月
仟和惠景 4中附近 大3室 精装修 拎包入住 仟和惠景,3室2厅|120平米|3/6层黄虹玲 整租 南北,1500 ,元/月
襄城运动路四中 四中义教部 22中 冯家巷单位家属院精装房 四中小学家属院,1室1厅|30平米|2/6层周芳 整租 南北,1300 ,元/月
好房出租 南湖二汽管委会二楼 临街可做培训公司 教育机构 暂无小区,2室2厅|99平米|2/8层魏帆 整租 东西,2000 ,元/月
鼓楼金兰首饰后面工行家属院2楼简装上学出行方便 实验小区旁 暂无小区,2室2厅|96平米|2/6层魏帆 整租 南北,1800 ,元/月
盛景名门2室-2厅-1卫整租 盛景名门,2室2厅|80平米|5/5层 整租 朝南,1800 ,元/月
鹿鸣岛花园夏雨苑2室-1厅-1卫整租 鹿鸣岛花园夏雨苑,2室1厅|89平米|3/6层 整租 南北,1000 ,元/月
檀溪花园2室-2厅-1卫整租 檀溪花园,2室2厅|70平米|6/8层 整租 南北,1200 ,元/月
海容骧龙国际(公寓)2室-2厅-1卫整租 海容骧龙国际(公寓),2室2厅|91平米|1/32层 整租 东南,2500 ,元/月
福隆苑小区 3室2厅1卫 福隆苑小区,3室2厅|114平米|3/6层聂女士 整租 南北,1800 ,元/月
鼓楼商场福利路家属院3室-2厅-1卫整租 鼓楼商场福利路家属院,3室2厅|137平米|3/7层 整租 朝南,2200 ,元/月
鼓楼仁义巷人行家属院2室-1厅-1卫整租 襄城庭院,2室1厅|80平米|6/6层 整租 南北,1500 ,元/月
襄城区 在水一方隔壁丝织厂家属院 70平方两室2楼出租！ 暂无小区,2室2厅|70平米|2/6层窦金芬 整租 南北,1000 ,元/月
鼓楼公寓2室-1厅-1卫整租 鼓楼公寓,2室1厅|65平米|3/4层 整租 朝南,1400 ,元/月
急租急租 铁四院和谐家园精装两室 拎包住 和谐家园,2室1厅|94平米|7/28层杨正群 整租 朝南,1400 ,元/月
西门桥农委家属院低楼层停车方便 襄城春天,3室1厅|100平米|1/7层陈月华 整租 南北,1500 ,元/月
灯具厂家属院 2室1厅1卫 暂无小区,2室1厅|55平米|3/5层老裴女士 整租 朝南,800 ,元/月
安厦好房 檀溪恒大名都对面小区电梯房 简单家具家电 看房方便 檀溪府邸,2室2厅|83平米|16/23层李莉 整租 南北,1600 ,元/月
安厦好房 沿江大道滨江苑小区 三室精装家具家电齐全 看房方便 滨江苑小区,3室2厅|104平米|5/6层李莉 整租 南北,1800 ,元/月
安厦好房 檀溪恒大名都对面小区 两室精装简单家具家电 檀溪府邸,2室2厅|82平米|20/26层李莉 整租 南北,1500 ,元/月
安厦好房 檀溪恒大名都对面小区 三室简单家具 看房方便 檀溪府邸,3室2厅|120平米|5/26层李莉 整租 南北,2200 ,元/月
胜利街电视机厂家属院3楼两室一厅一卫简单装修 落轿小区,2室1厅|65平米|3/5层汤琴 整租 南北,1000 ,元/月
西门桥建行家属院 精装修 中间楼层 拎包入住 昭明台社区,2室2厅|82平米|3/7层黄虹玲 整租 南北,1800 ,元/月
民发世界城旁一克拉精装修家具齐全拎包入住 暂无小区,1室1厅|30平米|8/21层刘改华 整租 朝南,1200 ,元/月
檀溪 东方小区电梯房 精装两室 拎包入住 好停车 东方社区,2室2厅|85平米|8/15层丁月 整租 南北,1500 ,元/月
檀溪路三桥旁名仕家天下 精装修，两室，室内适合办公 名仕家天下,2室2厅|97平米|8/15层伍士强 整租 南北,2000 ,元/月
业主急租 万山襄轴家属院1室1厅 急租400每月 随时看房 轴承厂家属区,1室1厅|43平米|3/6层秦萍萍 整租 南北,400 ,元/月
家乐福商圈38中对面建安小区停车方便拎包入住 建安小区,2室1厅|61平米|3/6层陈红梅 整租 朝南,1300 ,元/月
大庆东路与红光路交汇处十九中 2室1厅1卫 暂无小区,2室1厅|70平米|4/6层孙女士 整租 朝南,850 ,元/月
襄城七中家属院四室中装家电家具齐全拎包入住 吉源小区,4室2厅|176平米|2/7层丁杰 整租 南北,3000 ,元/月
湖北机动通信局家属院2室-1厅-1卫整租 湖北机动通信局家属院,2室1厅|76平米|1/1层 整租 南北,750 ,元/月
张公祠森林公园张公祠路30号2室-1厅-2卫整租 岘山小区,3室1厅|105平米|1/1层 整租 南北,1200 ,元/月
襄城唐城附近粮库家属院两室三楼 暂无小区,2室1厅|65平米|3/6层王风 整租 南北,700 ,元/月
二桥头附近，家具家电齐全，拎包入住，光线好 怡虹公寓,2室1厅|75平米|2/7层彭军芳 整租 朝南,1400 ,元/月
中心医院 1室0厅1卫 暂无小区,1室0厅|25平米|4/4层袁女士 整租 东西,800 ,元/月
檀溪府 邸精装两室，家具家电齐全，拎包入住 檀溪府邸,2室2厅|85平米|25/26层吕亚兰 整租 南北,1600 ,元/月
安厦好房 东门楼梧桐湾对面的23中家属院大三室家具家电齐全 冠通梧桐湾,3室2厅|136平米|3/7层张曼 整租 南北,2200 ,元/月
单位大院，可免费停车无物业费，低成本入住，襄城檀溪物价局 暂无小区,3室2厅|90平米|1/7层程双燕 整租 南北,1200 ,元/月
北街1室诚心出租 33中陪读 昭明台社区,1室1厅|30平米|3/4层黄虹玲 整租 朝南,500 ,元/月
襄轴二路 檀溪万山轴承厂2室2厅 有宽带拎包入住 轴承厂家属区,2室2厅|87平米|6/7层钟敏 整租 南北,1000 ,元/月
西门桥102家属院好房出租，位置好，家具家电齐全，采光好 丽波湾,2室2厅|85平米|7/8层盛光燕 整租 南北,900 ,元/月
安厦好房 檀溪中路东方小区 两室家具家电齐全 看房方便 东方社区,2室2厅|85平米|14/15层李莉 整租 南北,1700 ,元/月
安厦好房 东门口华电寓苑附近雪美小区 两室精装看房方便 雪美小区,2室2厅|65平米|5/8层李莉 整租 南北,1500 ,元/月
万山轴承厂2室1厅 41中附近 天燃气+热水器 轴承厂家属区,2室1厅|68平米|4/4层钟敏 整租 南北,600 ,元/月
二桥头 檀溪武商附近 精装两室 家具家电齐全 拎包入住 三酒厂家属西院,2室2厅|80平米|4/6层丁月 整租 南北,1200 ,元/月
二桥头卫校家属院三室1500一月 中房泰鑫公寓,3室1厅|93平米|1/6层李贵花 整租 南北,1500 ,元/月
一建公司家属院2室-1厅-1卫合租 一建公司家属院,2室1厅|85平米|2/8层 合租 南北,800 ,元/月
怡和苑 2室2厅1卫 怡和苑,2室2厅|85平米|5/7层刘旭女士 整租 朝南,1800 ,元/月
骧龙国际对面金色营盘2室-2厅-1卫整租 骧龙国际,2室2厅|93平米|1/21层 整租 南北,800 ,元/月
华凯丽江泊林2室-2厅-1卫整租 华凯丽江泊林,2室2厅|75平米|8/8层 整租 南北,1800 ,元/月
东方雅园 1室1厅1卫 东方雅园,1室1厅|65平米|3/6层付女士 整租 东西,850 ,元/月
安嘉 襄城东门口电梯房 闸口丽江泊林精装2居室 拎包入住 华凯丽江泊林,2室2厅|96平米|7/8层刘家旭 整租 朝南,2000 ,元/月
鼓楼襄城庭院2室-1厅-1卫整租 鼓楼公寓,2室1厅|80平米|6/6层 整租 南北,1500 ,元/月
红心家园2室-2厅-1卫整租 红心家园,2室2厅|95平米|5/7层 整租 南北,1600 ,元/月
襄城.庞公.常青路.单位小区房两室出租.安全.干净卫生 隆馨家园,2室2厅|108平米|4/8层张涛 整租 南北,1400 ,元/月
鼓楼昭明派出所附近小两室出租 昭明台社区,2室1厅|50平米|3/3层刘艳玲 整租 朝西,300 ,元/月
六化建怡安小区，二室二厅，六楼，精装修，直接入住 六化建家属楼,2室2厅|80平米|6/7层王秀莲 整租 南北,1300 ,元/月
鼓楼 南街 民主路1室1厅出租 900元一月 暂无小区,1室1厅|50平米|4/5层路晓平 整租 南北,900 ,元/月
2楼！襄城昭明小学旁鼓楼商圈地段单位精装两房 建行檀溪支行家属院,2室2厅|72平米|2/6层易婷婷 整租 南北,1800 ,元/月
家乐福对面建安小区电梯房精装一室一厅，月租1400拎包入住 建安小区,1室1厅|50平米|18/21层王双 整租 南北,1400 ,元/月
檀溪新居 可租办公 电梯房 诚心出租 檀溪新居,3室2厅|130平米|8/13层黄虹玲 整租 南北,1800 ,元/月
万山轴承厂41中附近2室 家私齐全 拎包入住 业主急租 轴承厂家属区,2室2厅|67平米|5/7层胡金凤 整租 南北,900 ,元/月
万山宏伟厂 精装大3室 41中旁 家私齐全 拎包入住业主急租 宏伟小区,3室1厅|100平米|3/4层胡金凤 整租 南北,1300 ,元/月
襄城武商附近 四中陪读房，一室精装1500元 金榜公寓,1室1厅|30平米|1/5层张小琴 整租 南北,1500 ,元/月
北街小北门一楼仓库，地理位置好，配套成熟。 昭明台社区,2室2厅|60平米|1/6层王飞 整租 南北,1800 ,元/月
恒大名都，三室大房，采光好，小区环境好，适合办公和居住。 恒大名都,3室2厅|2300平米|4/32层方辉 整租 南北,2300 ,元/月
安厦好房 檀溪恒大名都对面小区三室精装 家具家电齐全看房方便 檀溪府邸,3室2厅|139平米|9/26层李莉 整租 南北,2600 ,元/月
万山轴承厂1室1厅 天燃气+热水器 中层41中附近 轴承厂家属区,1室1厅|50平米|5/7层钟敏 整租 南北,600 ,元/月
檀溪学府花园精装三室，拎包入住 学府花园,3室2厅|115平米|6/8层柴金燕 整租 南北,2200 ,元/月
出租房胜利街高架桥旁边静雅苑7 楼三室中装拎包入住停车方便 暂无小区,3室2厅|110平米|7/7层汤琴 整租 朝南,1500 ,元/月
檀溪府 邸两室精装，拎包入住，周围有恒大小学 檀溪府邸,2室2厅|85平米|16/25层吕亚兰 整租 南北,1800 ,元/月
家乐福对面建安小区电梯房精装一室一厅，月租1400拎包入住 建安小区,1室1厅|50平米|19/21层黄珊珊 整租 南北,1400 ,元/月
业主急租 万山轴承厂家属院65平2室 家私齐全看房方便 轴承厂家属区,2室2厅|65平米|6/6层秦萍萍 整租 南北,700 ,元/月
大庆路与丹江路交汇处三中附近 2室1厅1卫 暂无小区,2室1厅|80平米|1/7层孙女士 整租 朝南,1000 ,元/月
安厦 檀溪路恒大名都一期前面檀溪还建房 两室精装电梯拎包入住 檀溪府邸,2室2厅|85平米|19/23层姜碧桃 整租 东南,1800 ,元/月
东方社区2室-1厅-1卫整租 东方社区,2室1厅|83平米|6/11层 整租 南北,1450 ,元/月
鼓楼公寓1室-1厅-1卫整租 鼓楼公寓,1室1厅|40平米|3/6层 整租 朝南,500 ,元/月
襄城东门口气象局附近鼎盛园二室1100元四楼，随时看房 中房鼎盛源,2室1厅|65平米|4/6层孙世秀 整租 朝南,1100 ,元/月
四中小学家属院 1室1厅1卫 四中小学家属院,1室1厅|35平米|1/5层袁女士 整租 南北,1500 ,元/月
恒大名都158平毛坯可随意装修，可办公 恒大名都,4室2厅|158平米|1/26层柴金燕 整租 南北,3500 ,元/月
三十三中对面，一居室，价位合理，出行方便 鼓楼商场福利路家属院,1室1厅|48平米|4/4层陈月华 整租 南北,800 ,元/月
北街紧邻昭明台附近，一居室，家具家电齐全，看房方便 鼓楼公寓,1室1厅|48平米|4/4层陈月华 整租 南北,1200 ,元/月
六化建，一室一厅，出行便利 六化建家属楼,1室1厅|45平米|2/5层王秀莲 整租 南北,550 ,元/月
鱼梁洲附近 锦绣家园。大两房，配套齐全，有要求可以面谈 锦绣家园,2室2厅|89平米|6/7层闫帅 整租 南北,1000 ,元/月
襄城 鼓楼附近 昭明台小学 西街建行家属院 低层精装大两房 暂无小区,2室1厅|73平米|2/6层闫帅 整租 南北,1800 ,元/月
鱼梁洲银杏家园，精装1室1厅，家具家电齐全，直接拎包入住。 银杏家园,1室1厅|68平米|6/6层王红梅 整租 南北,700 ,元/月
胜利街36中半山逸品山水文景静雅苑2室精装拎包入住非常干净 静雅苑,3室2厅|110平米|5/5层吴莹 整租 南北,1000 ,元/月
檀溪万山轴承厂精装2室二楼 拎包入住 41中附近 轴承厂家属区,2室2厅|65平米|2/7层钟敏 整租 南北,1000 ,元/月
胜利街建行后面育才小区6楼。精装，两室一厅一卫 六化建育才小区,2室2厅|80平米|6/7层汤琴 整租 南北,1200 ,元/月
安厦好房 檀溪山水檀园 两室精装家具家电齐全 看房方便 山水檀溪檀园,2室2厅|80平米|15/15层李莉 整租 南北,2500 ,元/月
安厦好房 檀溪恒大名都对面小区 两室家具家电齐全 看房方便 檀溪府邸,2室2厅|82平米|17/26层李莉 整租 南北,1800 ,元/月
安厦好房 东方小区两室简单家具 电梯房小区环境好 看房方便 东方社区,2室2厅|85平米|2/11层李莉 整租 南北,1350 ,元/月
胜利街六化建菜场对面一室一厅一卫简装空调太阳能沙发床 六化建家属楼,1室1厅|46平米|3/3层汤琴 整租 南北,500 ,元/月
檀溪复聪路 二桥附近 中装三室 拎包入住 好停车 华晨公寓,3室2厅|90平米|4/6层丁月 整租 南北,1500 ,元/月
荆州街小学 市政府生活区 四中附近 3楼 好停车 拎包入住 景苑1区,2室2厅|95平米|3/6层丁月 整租 南北,1900 ,元/月
鼓楼一实小步行五分 精装两室 家具家电全新 昭明台社区,2室2厅|80平米|4/6层丁月 整租 南北,1800 ,元/月
檀溪二桥头 明园 精装标准1室 家具家电齐中央空调 山水檀溪明园,1室1厅|68平米|7/9层张庆锋 整租 南北,1700 ,元/月
安厦 檀溪路恒大名都前面檀溪还建房 两室电梯精装拎包入住 檀溪府邸,2室2厅|85平米|23/26层姜碧桃 整租 南北,1700 ,元/月
二桥头新武商对面+巴黎岛后面+小襄轴家属院 盛景名门,1室1厅|60平米|5/7层黄虹玲 整租 南北,1100 ,元/月
安厦好房 鼓楼联达小区一楼商铺60平有独立的卫生间通有天然气 联达小区,1室2厅|60平米|1/6层侯正清 整租 朝东,3000 ,元/月
襄城胜利街电梯房浩然居精装修 向阳小区,2室2厅|90平米|6/18层曹红艳 整租 西北,2000 ,元/月
檀溪二桥头武商旁 单位院中装2室 家具家电齐停车方便 三酒厂家属西院,2室2厅|90平米|3/7层张庆锋 整租 南北,1200 ,元/月
鼓楼十字街南街红花园实验小学昭明小学四中附近2室出租新装修 红心家园,2室2厅|90平米|1/6层吴莹 整租 南北,1800 ,元/月
华凯丽江泊林1室-1厅-1卫整租 华凯丽江泊林,1室1厅|45平米|13/19层 整租 朝南,650 ,元/月
爱尚居 加州丽景5楼3室2厅2卫，简装1600元。 加州丽景,3室2厅|139平米|5/7层李桂群 整租 南北,1600 ,元/月
六化建办公大楼旁2楼1室1厅1卫1厨，700元一个月。 六化建家属楼,1室1厅|50平米|2/6层李桂群 整租 南北,700 ,元/月
"鱼梁洲鹿鸣岛别墅区 4室两厅两卫,带空中花园有车库车位和菜园 鹿鸣岛花园春风苑",4室2厅|180平米|2/4层王红梅 整租 南北,2500 ,元/月
二桥头附近单位院，家具家电齐全，拎包入住 精配厂住宅小区,2室1厅|90平米|3/6层彭军芳 整租 朝南,1000 ,元/月
安厦好房 檀溪新居两室精装修 楼层好 家具家电齐全 檀溪新居,2室2厅|85平米|7/15层张曼 整租 南北,1200 ,元/月
安厦好房 胜利街庞公供销社家属院 三室家具家电齐全 看房方便 静雅苑,3室2厅|141平米|5/7层张曼 整租 南北,1600 ,元/月
恒大名都 精装二室二厅一卫家具家电齐全拎包入住 月租2200 恒大名都,2室2厅|83平米|21/32层方辉 整租 南北,2200 ,元/月
万山轴承厂家属院精装2室 家私齐全 有钥匙随时看房 轴承厂家属区,2室1厅|50平米|6/6层秦萍萍 整租 南北,850 ,元/月
安厦好房 檀溪恒大名都对面小区 两室家具家电齐全 看房方便 檀溪府邸,2室2厅|82平米|5/26层李莉 整租 南北,1700 ,元/月
安厦好房 檀溪新居两室简单家具 电梯房小区环境好 看房方便 檀溪新居,2室2厅|86平米|6/10层李莉 整租 南北,1800 ,元/月
六化建育才小区 2室2厅1卫 六化建育才小区,2室2厅|80平米|7/7层王生先生 整租 南北,1000 ,元/月
安厦好房出租 位于檀溪路附近的芙蓉园 精装3室 山水檀溪芙蓉园,3室2厅|98平米|2/11层曹梅琴 整租 南北,2800 ,元/月
二桥头 一室一厅 房子干净整洁 购物方便 华晨公寓,1室1厅|35平米|3/5层丁月 整租 南北,650 ,元/月
恒大名都一期 精装2室 全新家具家电齐全 看房方便 恒大名都,2室2厅|83平米|4/21层张庆锋 整租 南北,2600 ,元/月
业主急租 万山轴承厂家属院61平2室 600每月家私齐全 轴承厂家属区,2室2厅|61平米|5/6层秦萍萍 整租 南北,600 ,元/月
家乐福商圈 38中对面 电梯房 精装修 1室1厅 拎包入住 建安小区,1室1厅|57平米|10/20层陈红梅 整租 朝南,1400 ,元/月
安厦 檀溪路万山轴承厂单位房 两室中装 拎包入住 黄晶2楼 轴承厂家属区,2室2厅|65平米|2/7层姜碧桃 整租 南北,850 ,元/月
丽水青城3室-2厅-1卫整租 丽水青城,3室2厅|97平米|4/7层 整租 朝南,1500 ,元/月
鼓楼商圈 南街红瓦房对面3楼 可做培训机构 等 鼓楼公寓,3室2厅|150平米|3/6层汪亮 整租 南北,3500 ,元/月
襄城二桥头附近，繁华地段，出行方便，附近学校，菜场， 怡虹公寓,2室2厅|90平米|2/7层程有哲 整租 南北,1400 ,元/月
襄城四中初中部 审计局步行五分 精装两室 拎包入住 审计局家属院,2室2厅|100平米|1/6层吴莹 整租 南北,2200 ,元/月
鼓楼南街税务局家属院 3室2厅1卫 主卧 南 暂无小区,3室2厅|80平米|4/7层贾先生 合租 朝南,700 ,元/月
万山职业技术学校，院大停车好，床，空调，热水器，柜子， 暂无小区,3室2厅|148平米|5/6层郭付亚 整租 南北,1500 ,元/月
檀溪路名仕家旁全新精装2室拎包入住业主急租 欢迎随时看房 轴承厂家属区,2室1厅|50平米|6/6层胡金凤 整租 南北,850 ,元/月
恒大名都4室-2厅-2卫整租 恒大名都,4室2厅|176平米|10/32层 整租 南北,4600 ,元/月
老龙堤家属院 2室精装修出租 昌龙小区,2室2厅|85平米|5/7层黄虹玲 整租 南北,1200 ,元/月
安厦好房 檀溪新居两室精装修 楼层好 家具家电齐全 檀溪新居,2室2厅|86平米|6/7层张曼 整租 南北,1800 ,元/月
恒大对面小区精装修 二室二厅一卫家电齐全拎包入住 檀溪府邸,2室2厅|85平米|17/23层方辉 整租 南北,1500 ,元/月
檀溪路上名仕家天下中央空调两室精装修拎包入住 家私齐全 名仕家天下,2室2厅|98平米|8/12层胡柳进 整租 南北,2000 ,元/月
襄城中心医院附近四中对面3室近22中四中义教部新装家具家电全 审计局家属院,2室2厅|100平米|2/6层朱桂芳 整租 南北,2500 ,元/月
安厦好房 荆州街单位小区学 区房 家具家电齐全适合陪读 景苑1区,3室2厅|110平米|1/7层李莉 整租 南北,2600 ,元/月
安厦新出租房源 檀溪路鼓楼商场家属院三室 家具家电齐全 鼓楼商场福利路家属院,3室2厅|138平米|3/6层李莉 整租 南北,2300 ,元/月
安厦好房 恒大名都对面小区一室精装家具家电齐全 看房方便 檀溪府邸,1室1厅|65平米|10/23层李莉 整租 南北,1500 ,元/月
安厦好房 檀溪恒大名都对面小区 两室家具家电齐全 看房方便 檀溪府邸,2室2厅|82平米|19/23层李莉 整租 南北,1800 ,元/月
檀溪万山轴承厂1室1厅+独立卫生间+厨房+阳台+41中近 轴承厂家属区,2室1厅|45平米|3/4层钟敏 整租 南北,500 ,元/月
滨江苑小区 3室2厅2卫 滨江苑小区,3室2厅|132平米|1/6层党女士 整租 南北,2600 ,元/月
檀溪中路 山水檀溪秀园 大3室 电梯房出租 租办公 靠路边 山水檀溪秀园,3室2厅|110平米|8/18层黄虹玲 整租 南北,1600 ,元/月
安嘉，君临山房子出租。家具家电齐，精装修拎包入住 君临山,2室2厅|92平米|14/16层朱雪平 整租 朝南,2400 ,元/月
《安厦》优选 恒大名都二期 一室一厅 家电齐全 中间楼层 恒大名都,1室1厅|39平米|10/33层廉敖月 整租 南北,1600 ,元/月
红心家园2室-1厅-1卫整租 红心家园,2室1厅|70平米|4/7层 整租 南北,2000 ,元/月
六化建育才小区2室-1厅-1卫整租 六化建育才小区,2室1厅|79平米|7/7层 整租 南北,1200 ,元/月
恒大名都2室-2厅-1卫整租 恒大名都,2室2厅|92平米|23/32层 整租 朝南,2300 ,元/月
恒大名都一楼大平层，适合各种办公，培训 恒大名都,4室2厅|158平米|1/23层吕亚兰 整租 南北,3500 ,元/月
